gene_id,gene_name,S231145,S231288,S231447,S231491,S231603,VN_0005,VN_0007,VN_0012,VN_0085,VN_0188,VN_0413,VN_0812,VN_0822
ENSG00000277341.1,RNU6-489P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277342.1,RP11-843B15.4,10,1,2,1,4,4,4,2,1,4,3,4,5
ENSG00000277344.1,RNU1-6P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277346.1,AL662797.1,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277347.1,AC005412.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277348.1,AC122718.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277349.1,RP11-356C4.6,0,8.61,11.808,0,16.211,4.744,5.929,2,3.242,0,3.359,1.595,0
ENSG00000277350.1,RP11-395E19.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277351.1,RP11-325L12.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277352.1,KB-68A7.2,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000277353.1,AL050310.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277357.1,NPAP1P7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277358.1,RP11-321C24.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277360.1,AC009108.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277363.4,SRCIN1,8,7,0,5,7,1,1,0,0,0,0,1,1
ENSG00000277367.1,RP11-536C10.26,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277368.1,RP11-380N8.7,4,10,1,1,13,0,4,1,3,3,3,0,0
ENSG00000277369.1,RP11-486I11.2,38,75,53,88,44,13,19,11,19,8,18,18,15
ENSG00000277370.1,SNORD49A,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277371.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277372.1,CU463998.3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277373.1,RP11-462D18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277374.1,U1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277379.1,MIR6724-3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277382.1,RP11-318A15.8,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277383.1,CTD-3001H11.2,29,45,16,32,56,4,17,14,5,13,12,10,3
ENSG00000277384.1,AL671532.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277385.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277386.1,RP11-141M1.4,3,1,0,0,1,0,0,0,1,0,0,3,0
ENSG00000277387.1,MIR8058,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277388.1,MIR8053,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277391.1,MIR6881,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277393.1,AC078916.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277394.1,AL132988.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277396.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277397.1,RP5-1024G6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277399.4,GPR179,5,4,0,1,2,1,1,0,3,0,0,0,0
ENSG00000277400.1,MAFIP,47.121,7.702,55.75,53.234,73.923,4.615,4.529,0,26.769,5.701,2,1.966,8.548
ENSG00000277402.1,MIR6891,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277406.1,CH17-385C13.2,11.711,19.854,21.26,19,22,10,10.378,9.046,5.198,8.874,10,9.841,10
ENSG00000277408.1,RP3-425C14.7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277410.1,RP1-139G21.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277411.1,5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277412.1,RP11-101E5.6,0,0,0,0,0,0.5,0,0,0,0,0,0,0
ENSG00000277413.1,uc_338,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277418.1,5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277420.1,CH17-408M7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277422.1,REXO1L6P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277423.1,RP11-173P15.9,0,5,2,1,2,1,2,0,0,1,2,0,2
ENSG00000277425.1,RP5-1116H23.3,3,3,0,4,1,0,0,0,0,1,4,1,4
ENSG00000277426.1,CTD-2206N4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277427.1,XXbac-BPG154L12.5,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000277428.1,Y_RNA,0,0,0,0,0,0,0.167,0,0,0,0,0,0
ENSG00000277432.1,AL137861.7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277433.1,Z82205.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277435.1,RP11-1180F24.1,0,1,1,0,1,0,0,0,0,0,1,0,0
ENSG00000277436.1,REXO1L5P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277437.1,MIR3687-1,7,0,1,2.25,0,0,0,0,0,0,0,0,0
ENSG00000277438.1,RP11-256K9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277440.1,RP11-295D4.5,3,16,2,12,14,5,9,3,17,1,4,13,5
ENSG00000277441.1,MIR144,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277443.1,MARCKS,6039,6997,6443,6871,8821,3359,3880,3924,4876,8061,7315,4152,4297
ENSG00000277444.1,ZEB2_AS1_4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277446.1,Metazoa_SRP,0,0,0,0,1.971,0,0,0.787,0,0,0,0,0
ENSG00000277447.1,RP11-193E15.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277448.1,RP11-538C21.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277449.1,CEBPB-AS1,26,59,45,44,43,10,30,23,23,28,27,20,11
ENSG00000277450.1,CTB-96E2.10,2,2,1,1,5,3,1,1,1,1,0,3,2
ENSG00000277451.1,AC126281.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277452.1,RN7SL473P,18,43,31,38,50,19,64,18,24,9,17,55,51
ENSG00000277453.1,CTC-492K19.7,1,1,2,0,1,0,1,0,0,0,2,0,0
ENSG00000277455.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277458.1,RP11-166B2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277459.1,RP11-732A21.3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277460.1,TTC28-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277462.1,ZNF670,60,71,45,40,26,33,16,21,64,18,19,24,32
ENSG00000277463.1,CTD-3035K23.6,0,3,3,6,3,1,0,0,0,0,2,3,0
ENSG00000277464.1,RN7SL286P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277465.1,NAMA_2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277466.1,RP11-349F21.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277467.1,RN7SL628P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277468.1,TCL6_3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277469.1,HOTTIP_3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277472.1,AL161752.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277473.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277474.1,MIR6894,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277475.1,AC213203.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277476.1,RP11-147L13.13,148,261,168,231,292,120,107,108,135,99,154,121,115
ENSG00000277478.1,MIR6165,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277479.1,AL022345.10,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277481.1,PKD1L3,1,11,1,1,2,2,0,0,1,0,1,0,0
ENSG00000277482.1,RP11-762H8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277483.1,RN7SL321P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277485.1,AL583842.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277486.1,SAGE3P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277487.1,AC079398.3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277488.1,5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277489.1,AC007998.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277490.1,RP11-1082I11.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277491.1,RP11-676J12.9,5,6,7,15,9,2,2,1,5,1,2,10,8
ENSG00000277492.1,ACEA_U3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277493.1,RP11-255H23.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277494.1,GPIHBP1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277496.1,RP11-93B14.9,122,194,137,156,171,102,70,29,90,50,72,87,59
ENSG00000277497.1,AC090338.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277498.1,RP11-681L4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277499.1,RP11-144M17.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277500.1,RP11-456J20.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277501.1,RP11-697E22.2,1,4,0,2,1,4,2,0,0,0,0,0,0
ENSG00000277502.1,uc_338,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277503.1,AC016730.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277504.1,RP11-278A23.4,1,0,0,0,0,0,0,0,1,0,2,0,2
ENSG00000277505.1,RP11-467N20.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277506.1,RN7SL802P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277508.1,BSNDP3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277509.1,RP11-944L7.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277510.1,Metazoa_SRP,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277511.1,CTD-2095E4.5,25,18,29,15,21,36,48,20,47,19,77,74,27
ENSG00000277512.1,SNORD65,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277513.1,RP3-393B19.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277514.1,OR52Q1P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277515.1,RN7SL495P,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277516.1,RP11-541G7.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277519.1,OFD1P16Y,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277520.1,AC245036.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277521.1,MIR8078,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277524.1,SMAD5-AS1_3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277526.4,RP11-378A12.1,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000277527.1,AC007251.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277528.1,AC126281.7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277529.1,NF1P10,0,0,0,0,0,0,0,0,0,0,0,0,0
